"SampleID","Year","Region","Site","Tissue","Replicate","meanCq","meanSQ","countRep","leaf_mass","cells_per_uL","dilute_cells_in_extraction","total_cells_in_extraction","cells_per_g","cells_per_mg","Result"
"2020_BB_A_L_1",2020,"BB","A","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_A_L_3",2020,"BB","A","L","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_A_L_5",2020,"BB","A","L","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_A_L_7",2020,"BB","A","L","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_A_L_9",2020,"BB","A","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_C_G_3",2020,"BB","C","G","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_C_G_5",2020,"BB","C","G","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_C_G_7",2020,"BB","C","G","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_C_L_1",2020,"BB","C","L","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_C_L_3",2020,"BB","C","L","3",27.58473331,10.6095334095,1,0.0087,5.30476670475,530.476670475,5304.76670475,609743.299396552,609.743299396552,"Positive"
"2020_BB_C_L_5",2020,"BB","C","L","5",28.6280483,4.823755522,1,0.006,2.411877761,241.1877761,2411.877761,401979.626833333,401.979626833333,"Positive"
"2020_BB_C_L_9",2020,"BB","C","L","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_E_G_1",2020,"BB","E","G","1",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_E_G_5",2020,"BB","E","G","5",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_E_G_9",2020,"BB","E","G","9",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_E_L_1",2020,"BB","E","L","1",27.46292057,11.6199866,1,0.0201,5.8099933,580.99933,5809.9933,289054.393034826,289.054393034826,"Positive"
"2020_BB_E_L_3",2020,"BB","E","L","3",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_E_L_5",2020,"BB","E","L","5",27.845081455,8.7168252075,1,0.0183,4.35841260375,435.841260375,4358.41260375,238164.623155738,238.164623155738,"Positive"
"2020_BB_E_L_7",2020,"BB","E","L","7",0,0,1,NA,0,0,0,NA,0,"Negative"
"2020_BB_E_L_9",2020,"BB","E","L","9",29.777645175,2.0206586265,1,0.0145,1.01032931325,101.032931325,1010.32931325,69677.8836724138,69.6778836724138,"Positive"
"2020_SD_A_G_10",2020,"SD","A","G","10",0,0,1,NA,0,0,0,NA,0,"Negative"
