"Year","Region","SiteCode","TidalHeight","Transect","Blade","Meter","GrazingScars"
2019,"AK","A","U",1,16,"m4",0
2019,"AK","A","U",1,17,"m8",0
2019,"AK","A","U",1,18,"m12",1
2019,"AK","A","U",1,19,"m16",1
2019,"AK","A","U",1,20,"m20",0
2019,"AK","A","U",2,16,"m4",1
2019,"AK","A","U",2,17,"m8",1
2019,"AK","A","U",2,18,"m12",0
2019,"AK","A","U",2,19,"m16",0
2019,"AK","A","U",2,20,"m20",0
2019,"AK","A","U",3,16,"m4",0
2019,"AK","A","U",3,17,"m8",0
2019,"AK","A","U",3,18,"m12",0
2019,"AK","A","U",3,19,"m16",0
2019,"AK","A","U",3,20,"m20",0
2019,"AK","A","L",4,16,"m4",1
2019,"AK","A","L",4,17,"m8",0
2019,"AK","A","L",4,18,"m12",0
2019,"AK","A","L",4,19,"m16",1
2019,"AK","A","L",4,20,"m20",0
2019,"AK","A","L",5,16,"m4",0
2019,"AK","A","L",5,17,"m8",1
2019,"AK","A","L",5,18,"m12",1
2019,"AK","A","L",5,19,"m16",0
2019,"AK","A","L",5,20,"m20",1
2019,"AK","A","L",6,16,"m4",1
2019,"AK","A","L",6,17,"m8",1
2019,"AK","A","L",6,18,"m12",0
2019,"AK","A","L",6,19,"m16",0
2019,"AK","A","L",6,20,"m20",0
2019,"AK","B","U",1,16,"m4",1
2019,"AK","B","U",1,17,"m8",1
2019,"AK","B","U",1,18,"m12",1
2019,"AK","B","U",1,19,"m16",1
2019,"AK","B","U",1,20,"m20",1
2019,"AK","B","U",2,16,"m4",1
2019,"AK","B","U",2,17,"m8",1
2019,"AK","B","U",2,18,"m12",1
2019,"AK","B","U",2,19,"m16",0
2019,"AK","B","U",2,20,"m20",0
2019,"AK","B","U",3,16,"m4",1
2019,"AK","B","U",3,17,"m8",0
2019,"AK","B","U",3,18,"m12",1
2019,"AK","B","U",3,19,"m16",0
2019,"AK","B","U",3,20,"m20",1
2019,"AK","B","L",4,16,"m4",0
2019,"AK","B","L",4,17,"m8",1
2019,"AK","B","L",4,18,"m12",0
2019,"AK","B","L",4,19,"m16",0
2019,"AK","B","L",4,20,"m20",0
2019,"AK","B","L",5,16,"m4",0
2019,"AK","B","L",5,17,"m8",0
2019,"AK","B","L",5,18,"m12",0
2019,"AK","B","L",5,19,"m16",0
2019,"AK","B","L",5,20,"m20",0
2019,"AK","B","L",6,16,"m4",1
2019,"AK","B","L",6,17,"m8",0
2019,"AK","B","L",6,18,"m12",0
2019,"AK","B","L",6,19,"m16",0
2019,"AK","B","L",6,20,"m20",0
2019,"AK","C","U",1,16,"m4",0
2019,"AK","C","U",1,17,"m8",0
2019,"AK","C","U",1,18,"m12",0
2019,"AK","C","U",1,19,"m16",0
2019,"AK","C","U",1,20,"m20",1
2019,"AK","C","U",2,16,"m4",1
2019,"AK","C","U",2,17,"m8",0
2019,"AK","C","U",2,18,"m12",1
2019,"AK","C","U",2,19,"m16",1
2019,"AK","C","U",2,20,"m20",0
2019,"AK","C","U",3,16,"m4",0
2019,"AK","C","U",3,17,"m8",0
2019,"AK","C","U",3,18,"m12",1
2019,"AK","C","U",3,19,"m16",0
2019,"AK","C","U",3,20,"m20",0
2019,"AK","C","L",4,16,"m4",0
2019,"AK","C","L",4,17,"m8",0
2019,"AK","C","L",4,18,"m12",0
2019,"AK","C","L",4,19,"m16",0
2019,"AK","C","L",4,20,"m20",0
2019,"AK","C","L",5,16,"m4",0
