Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity
m4,2019-07-14,AK.A.1.U.16,AK,A,U,1,16,134,2,52,134,2,NA,0,Y,0.001,2.68,NA,2019,NA,0,0,0.570249472,2.68,0
m8,2019-07-14,AK.A.1.U.17,AK,A,U,1,17,183,2,39,122,2,NA,1,Y,0.001,2.44,NA,2019,NA,1,0.289619136,1.888187328,2.44,0.118696367213115
m12,2019-07-14,AK.A.1.U.18,AK,A,U,1,18,250,2,24,192,2,NA,0,N,0.004,3.84,NA,2019,NA,1,0.085753152,2.736406451,3.84,0.02233155
m16,2019-07-14,AK.A.1.U.19,AK,A,U,1,19,208,3,68,208,3,NA,0,Y,0.014,6.24,NA,2019,NA,1,0.66337344,3.540724275,6.24,0.106309846153846
m20,2019-07-14,AK.A.1.U.20,AK,A,U,1,20,188,2,27,150,2,NA,0,N,0.002,3,NA,2019,NA,0,0,3.356022413,3.356022413,0
m4,2019-07-14,AK.A.2.U.16,AK,A,U,2,16,219,3,53,219,3,NA,0,Y,0.003,6.57,NA,2019,NA,0,0,2.85574176,6.57,0
m8,2019-07-14,AK.A.2.U.17,AK,A,U,2,17,243,2,35,208,3,NA,1,N,0.002,6.24,NA,2019,NA,0,0,3.128461952,6.24,0
m12,2019-07-14,AK.A.2.U.18,AK,A,U,2,18,185,2,13,164,2,NA,1,N,0.003,3.28,NA,2019,NA,0,0,2.108053376,3.28,0
m16,2019-07-14,AK.A.2.U.19,AK,A,U,2,19,288,2,71,288,2,NA,1,N,0.001,5.76,NA,2019,NA,1,0.092764416,3.718756448,5.76,0.0161049333333333
m20,2019-07-14,AK.A.2.U.20,AK,A,U,2,20,214,2,30,214,2,NA,0,N,9.9999999999989e-4,4.28,NA,2019,NA,1,0.18696704,3.776662298,4.28,0.0436838878504673
m4,2019-07-14,AK.A.3.U.16,AK,A,U,3,16,314,2,17,307,2,NA,0,Y,0.00100000000000011,6.14,NA,2019,NA,1,1.687017984,4.347702784,6.14,0.274758629315961
m8,2019-07-14,AK.A.3.U.17,AK,A,U,3,17,160,1.3,30,145,1.1,NA,0,N,0,1.595,NA,2019,NA,0,0,1.266414054,1.595,0
m12,2019-07-14,AK.A.3.U.18,AK,A,U,3,18,137,1.8,5,136,1.5,NA,0,N,0.001,2.04,NA,2019,NA,0,0,1.536239853,2.04,0
m16,2019-07-14,AK.A.3.U.19,AK,A,U,3,19,301,1.7,15,271,1.2,NA,0,N,0.001,3.252,NA,2019,NA,1,0.3813228736,4.140061504,4.5213843776,0.0843376368284818
m20,2019-07-14,AK.A.3.U.20,AK,A,U,3,20,297,1.6,65,239,2,NA,0,N,0.001,4.78,NA,2019,NA,0,0,3.55686816,4.78,0
m4,2019-07-14,AK.A.4.L.16,AK,A,L,4,16,144,3,35,144,3,NA,1,N,0.00600000000000001,4.32,NA,2019,NA,1,5.201315187,7.038446131,12.239761318,0.424952337865515
m8,2019-07-14,AK.A.4.L.17,AK,A,L,4,17,275,2,20,257,2,NA,0,N,0.002,5.14,NA,2019,NA,1,10.23766792,15.05636584,25.29403376,0.404746353117859
